name,type,thumbs_up,thumbs_down,score,ac_percent,imple_diff,concept_diff,author,cluster,year,time_limit,source_limit,mem_limit,user_ac,total_sub,total_ac,total_wa,ct_error,rt_error,total_tle
A Summatory,classical,9,0,0.06,25.65,6,5,Olson Ortiz,Cube (Intel G860),2012,0.113,50000,1536,1385,8226,2110,3485,435,369,1815
A Summatory (HARD),classical,1,0,0.96,32.82,26,26,Tjandra Satria Gunawan,Cube (Intel G860),2012,2.107,12345,1536,42,451,148,77,26,28,172
A Terribly Grimm Problem,classical,0,0,1.51,29.23,34,34,Joshua Kirstein,Cube (Intel G860),2015,1,50000,1536,12,65,19,12,1,18,15
A Very Easy Problem!,classical,36,11,0.01,49.01,11,11,Fudan University Problem Setters,Cube (Intel G860),2007,0.1,500,1536,5344,11304,5540,5758,0,0,3
A1 Road,classical,0,0,0.67,49.26,0,0,~!(*(@*!@^&,Cube (Intel G860),2009,0.168,50000,1536,79,203,100,59,8,13,23
AAO KABHI HAWELI PE :P,classical,1,0,0.98,42.86,1,17,junior_g,Cube (Intel G860),2017,0.141,50000,1536,41,126,54,0,17,0,55
AB-words,classical,0,0,1.48,1.22,0,0,Michał Czuczman,Cube (Intel G860),2004,2.64,50000,1536,13,1470,18,597,114,315,424
ABC Path,classical,60,3,0.02,22.4,14,9,Ali Arous,Cube (Intel G860),2011,0.458,50000,1536,3360,19589,4388,8148,1163,1519,4352
ABCDEF,classical,92,7,0.02,26.76,14,17,Luka Kalinovcic,Cube (Intel G860),2009,0.36,50000,1536,4351,25027,6696,5699,1942,2052,8572
abdou set,classical,0,0,0.96,53.51,0,0,abdelkarim,Cube (Intel G860),2013,0.5,5000,1536,42,185,99,77,2,2,5
abs(a-b) I,classical,36,3,0.03,47.57,4,9,Raihat Zaman Neloy,Cube (Intel G860),2014,1,50000,1536,2719,6884,3275,2262,448,275,603
Absurd prices,classical,0,0,0.2,25.39,1,1,Adrian Kuegel,Cube (Intel G860),2010,0.219,50000,1536,360,2206,560,953,172,104,417
Acceptable numbers,classical,1,0,1,13.93,9,26,Grzegorz Spryszyński,Cube (Intel G860),2015,1,50000,1536,39,323,45,199,10,17,52
Accomodate the palace,classical,1,0,0.17,49.67,17,34,Abhilash I,Cube (Intel G860),2006,3,50000,1536,420,1053,523,343,67,50,70
Accumulate Cargo,classical,1,0,0.66,26.14,34,1,Prasanna,Cube (Intel G860),2007,0.1,50000,1536,80,350,91,183,35,23,18
ACM (ACronymMaker),classical,18,2,0.1,30.6,29,25,Camilo Andrés Varela León,Cube (Intel G860),2007,0.1,50000,1536,724,3171,970,1067,260,174,697
Acm Teams,classical,19,1,0.08,43.71,2,6,atef,Cube (Intel G860),2015,1,50000,1536,975,2498,1092,1151,114,57,83
Activities,classical,23,1,0.11,27.04,14,19,Pablo Ariel Heiber,Cube (Intel G860),2010,2.365,50000,1536,676,3706,1002,1276,246,391,789
Ada and Aphids,classical,2,0,1.78,50,26,17,morass,Cube (Intel G860),2017,5,50000,1536,4,12,6,2,0,0,4
Ada and Apple,classical,2,0,1.29,37.18,34,26,morass,Cube (Intel G860),2017,3,50000,1536,21,78,29,13,2,11,23
Ada and Birthday,classical,2,0,1.78,56,17,17,morass,Cube (Intel G860),2017,3,50000,1536,4,25,14,8,1,0,2
Ada and CAPTCHA,classical,4,0,0.99,28.83,13,13,morass,Cube (Intel G860),2017,0.8,50000,1536,40,333,96,55,14,10,158
Ada and Carrot,classical,2,0,1.45,49.06,1,26,morass,Cube (Intel G860),2017,9,50000,1536,14,53,26,6,2,1,18
Ada and Cities,classical,1,0,1.14,27.19,17,17,morass,Cube (Intel G860),2016,3,50000,1536,29,114,31,48,11,5,19
Ada and Coins,classical,3,0,1.48,22.67,17,17,morass,Cube (Intel G860),2017,0.649,50000,1536,13,75,17,17,3,9,29
Ada and Connections,classical,0,0,1.7,30.51,0,0,morass,Cube (Intel G860),2017,2,50000,1536,6,59,18,27,2,0,12
Ada and Cucumber,classical,1,0,1.6,29.03,0,0,morass,Cube (Intel G860),2017,2.5,50000,1536,9,31,9,14,1,7,0
Ada and Cycle,classical,3,1,0.94,26.12,12,28,morass,Cube (Intel G860),2016,3,50000,1536,44,356,93,56,6,9,190
Ada and Diary,classical,0,0,1.48,21.15,0,0,morass,Cube (Intel G860),2017,3,50000,1536,13,104,22,40,19,9,14
Ada and Easy Game,classical,2,0,1.31,26.14,17,23,morass,Cube (Intel G860),2016,3,50000,1536,20,88,23,13,4,3,45
Ada and Fence,classical,3,0,1.48,34.78,12,12,morass,Cube (Intel G860),2016,3,50000,1536,13,69,24,23,4,6,12
Ada and Field,classical,9,1,0.7,31.63,17,19,morass,Cube (Intel G860),2016,2,50000,1536,74,607,192,177,36,123,79
Ada and Game,classical,18,0,0.42,33.21,11,18,morass,Cube (Intel G860),2016,4.5,50000,1536,148,563,187,255,28,32,61
Ada and GCD,classical,4,0,0.94,39,17,12,morass,Cube (Intel G860),2017,2,50000,1536,44,300,117,88,17,16,62
Ada and Homework,classical,0,0,1.78,53.12,0,0,morass,Cube (Intel G860),2017,10,50000,1536,4,32,17,3,2,2,8
Ada and Indexing,classical,11,0,0.39,46.27,17,16,morass,Cube (Intel G860),2016,6,50000,1536,164,469,217,51,30,105,66
Ada and Island,classical,2,0,1.1,55.19,9,9,morass,Cube (Intel G860),2017,2,50000,1536,32,183,101,63,11,8,0
Ada and List,classical,4,0,0.76,37.8,14,24,morass,Cube (Intel G860),2016,6.5,50000,1536,64,500,189,68,28,75,137
Ada and Manure,classical,7,1,1,69.79,8,22,morass,Cube (Intel G860),2017,1,50000,1536,39,96,67,10,2,4,13
Ada and Mulberry,classical,3,0,1.36,44.83,26,34,morass,Cube (Intel G860),2017,8,50000,1536,18,58,26,9,0,4,19
Ada and Nucleobase,classical,1,0,1.6,47.06,34,34,morass,Cube (Intel G860),2017,6.5,50000,1536,9,51,24,16,2,1,8
Ada and Numbering,classical,4,0,1.21,30.47,26,26,morass,Cube (Intel G860),2017,3,50000,1536,25,128,39,24,6,10,49
Ada and Orange Tree,classical,5,0,1.36,38.3,21,26,morass,Cube (Intel G860),2017,2.5,50000,1536,18,94,36,17,3,19,19
Ada and Parties,classical,0,0,1.95,0,0,0,morass,Cube (Intel G860),2017,3,50000,1536,0,3,0,0,0,0,3
Ada and Party,classical,0,0,1.82,20,0,0,morass,Cube (Intel G860),2017,4,50000,1536,3,15,3,5,0,0,7
Ada and Path,classical,2,0,1.18,30.14,17,26,morass,Cube (Intel G860),2016,4,50000,1536,27,146,44,57,4,7,34
Ada and Plants,classical,5,0,0.78,39.18,8,14,morass,Cube (Intel G860),2016,3,50000,1536,61,194,76,68,14,12,24
Ada and Plum,classical,5,0,1.05,52.69,23,23,morass,Cube (Intel G860),2017,2,50000,1536,35,93,49,19,2,5,18
Ada and Plus,classical,4,0,0.7,40.07,12,12,morass,Cube (Intel G860),2016,4,50000,1536,73,277,111,122,11,12,21
Ada and Power,classical,2,0,1.63,62.5,17,26,morass,Cube (Intel G860),2017,0.5,50000,1536,8,32,20,7,0,0,5
Ada and Queue,classical,11,1,0.26,36.8,15,11,morass,Cube (Intel G860),2016,3.5,50000,1536,270,1250,460,305,90,109,286
Ada and Rain,classical,8,1,0.51,49.35,12,16,morass,Cube (Intel G860),2016,3,50000,1536,116,308,152,50,10,33,62
